"","text","id_str","lang","created_at","listed_count","location","user_id_str","description","followers_count","friends_count","screen_name","full_name","place_name","place_lat","place_lon","lat","lon"
"11","RT @: TRUMP: Hillary won't stand up to America's enemies. I will.

*Gets into fights with Miss Universe, Gold Star family, and a baby*","7.82359e+17","en","Sat Oct 01 23:19:06 +0000 2016",0,"Edinburg, TX","3238158587","Established 1991 the Edinburg North Color Guard has a long, rich history.",33,61,"EdinburgNorthCG","Texas, USA","Texas",31.1688935,-100.0768885,26.25184854,-98.48266463
"12","I added a video to a @ playlist https://t.co/raKguR0NS9 Hillary Clinton says Bernie Supporters bought into false Promise","7.82359e+17","en","Sat Oct 01 23:19:06 +0000 2016",2,NA,"1027546555","live life",534,495,"mackskyy","Pennsylvania, USA","Pennsylvania",41.1179365,-77.604684,40.02297987,-79.29783172
"13","#Cathartic sales are gonna spike I'll bet.
 #CageAllDay","7.82359e+17","en","Sat Oct 01 23:19:07 +0000 2016",15,"Gainesville, FL","123716663","Weather updates, forecast, warnings and information for Gainesville, FL. Sources: http://OpenWeatherMap.org, NOAA, USGS.",374,4,"_GainesvilleFL","Gainesville, FL","Gainesville",29.6731715,-82.3302695,29.65,-82.32
"14","RT @: Ladies and gentlemen, I present to you a sick Hillary supporter! https://t.co/GWJi2pk6SN","7.82359e+17","en","Sat Oct 01 23:19:07 +0000 2016",91,"Copenhagen, Denmark","61750032","New Wave - Post Punk // New EP The 'American Dream' out on Moon Sounds Records + 2016 tours in Europe, USA & Canada",1745,569,"foreignresort","Los Angeles, CA","Los Angeles",34.0207895,-118.4119065,34.0522,-118.243
"15","RT @: Donald Trump reportedly pressured his second wife to appear in Playboy https://t.co/SmGPBQBPlv https://t.co/snS35bxlpn","7.82359e+17","en","Sat Oct 01 23:19:08 +0000 2016",0,"Des Moines Iowa","254772851","LHS class of 2014, Central College class of 2018 <U+26BE><U+FE0F><U+26BE><U+FE0F> #blessed",1065,758,"TooFly_TyTy","Pella, IA","Pella",41.4022135,-92.9242055,41.4003249,-92.9186849
"16","What's good SA?","7.82359e+17","en","Sat Oct 01 23:19:08 +0000 2016",29,"NYC","266959085","Wellness expert and celebrity trainer. #KGBody is a personal body designer; focusing on achieving #YourIdealShape.  For inquiries, please email info@kgbody.com.",698,198,"KGBody","Los Angeles, CA","Los Angeles",34.0207895,-118.4119065,34.07011397,-118.4846533
"17","RT @: This is why Hillary Clinton will win the presidency. https://t.co/YOv6ECy9WI","7.82359e+17","en","Sat Oct 01 23:19:09 +0000 2016",20,"SLC, Utah #801","305847463","Ole Miss Rebel Alumni<U+2764><U+FE0F>Bachelor of Arts.<U+270D>MGCCC Alumni. Paralegal<U+2696> Currently a Southerner living in the wild mountains of UT",265,800,"KayTriplette","Park City, UT","Park City",40.653281,-111.4991495,40.6593,-111.5
"18","How can someone like Michelle Obama say ""Never Trump"" one day and hug George W. Bush the next? What does that say?","7.82359e+17","en","Sat Oct 01 23:19:09 +0000 2016",66,"Boulder, CO","22761567","Follow this account for geo-targeted Healthcare job tweets in Boulder, CO. Need help? Tweet us at @CareerArc!",377,310,"tmj_cob_health1","Broomfield, CO","Broomfield",39.9472495,-105.072231,39.9651949,-105.0206757
"19","RT @:  #Dems4Trump

This election isn't about Republican vs. Democrat. It's about #Corruption vs
#MakeAmericaGreatAgain ","7.82359e+17","en","Sat Oct 01 23:19:09 +0000 2016",422,NA,"2924224280","Check out our open positions to learn how you can WORK YOUR SPIRIT at #SONIC!",347,39,"SONICjobs","Dublin, TX","Dublin",32.0894405,-98.3424555,32.0985099,-98.3369114
"20","I swear if my brother asks me about bowling one more time","7.82359e+17","en","Sat Oct 01 23:19:10 +0000 2016",3,"highlands, lou-- F<U+039C>, bg ","331161345","deconstructing the patriarchy one tweet at a time",726,621,"ukukalee","Bowling Green, KY","Bowling Green",36.965671,-86.4355085,36.9817,-86.4444
"21","That just literally broke my heart","7.82359e+17","en","Sat Oct 01 23:19:12 +0000 2016",0,"Philadelphia","300885628",NA,9,35,"Oct-33","Philadelphia, PA","Philadelphia",40.0048655,-75.117998,39.94852,-75.16194
"22","#NowPlaying ""Optimist (We Are Not For Them)"" by P.O.S.","7.82359e+17","en","Sat Oct 01 23:19:12 +0000 2016",34,"Arlington, VA","14527508","80% water, 20% lady",528,413,"littlepielady","Virginia Beach, VA","Virginia Beach",36.8025415,-76.069946,36.84828239,-75.97465171
"23","RT @: I think other thing the deplorables dont get. Normal people get scared by them. Theyre driving many ppl away from Trump","7.82359e+17","en","Sat Oct 01 23:19:12 +0000 2016",5,NA,"632466936","stoked",2007,468,"jfanns","Orland Park, IL","Orland Park",41.604577,-87.8512035,41.6116,-87.8543
"24","RT @: Hillary claims to be a champion of women's rights... Yet she receives millions from repressive regimes with horrifi ","7.82359e+17","en","Sat Oct 01 23:19:12 +0000 2016",17,"Michigan","127117704","Less Things, More Travel.",484,295,"kirs10matson","Traverse City, MI","Traverse City",44.7595575,-85.599065,44.76383737,-85.61374068
"25","HAPPY OCTOBER!!","7.82359e+17","en","Sat Oct 01 23:19:14 +0000 2016",0,"Kinston, NC","38093638","Creative Arts Pastor at Tanglewood Church in Kinston, North Carolina.",142,228,"steph_towne","North Carolina, USA","North Carolina",35.1704985,-79.861034,35.3261194,-78.03433462
"26","Hillary Clinton trolls Trump with late-night tweets of her own: Hillary Clinton (or her staff) took a moment ... https://t.co/rxb8B8ALlW","7.82359e+17","en","Sat Oct 01 23:19:14 +0000 2016",73,"Northville, MI","4826126562","Full Lines Insurance and Financial Services! Like us on FB @markwilliamsinsuranceagent or request a quote at http://farmersagent.com/mwilliams12 or 248-938-4019",508,851,"MWInsurancAgent","Northville, MI","Northville",42.4191315,-83.4909575,42.4345,-83.4844
"27","@ thanks. I needed that.","7.82359e+17","en","Sat Oct 01 23:19:14 +0000 2016",1,"Philadelphia, Pa 19145","1661579754",NA,46,146,"bkbeady","Philadelphia, PA","Philadelphia",40.0048655,-75.117998,39.9637759,-75.1317543
"28","RT @: @'s army of #deplorables &amp; #basementdwellers will address #Clinton &amp; #MSM's sideshows so Trump can s ","7.82359e+17","en","Sat Oct 01 23:19:15 +0000 2016",7,"tampa","1685930761","Instagram:MMTOTB, snapchat:MMTOTB, http://Facebook.com/mmtotb",15,8,"MMTOTB","Westchase, FL","Westchase",28.062051,-82.61342,28.0438796,-82.5972683
"29","RT @: Trump fans: Lots of u send me death threats, giggling bout being called deplorables. Do u not get ppl who send death th","7.82359e+17","en","Sat Oct 01 23:19:15 +0000 2016",3,"Dublin, OH","234194733","Weather updates, forecast, warnings and information for Dublin, OH. Sources: http://OpenWeatherMap.org, NOAA, USGS.",36,29,"DublinOH","Dublin, OH","Dublin",40.1252735,-83.139281,40.1,-83.11
"30","Fuxk ya bitxh wit my jeans on.. ain't making love naked","7.82359e+17","en","Sat Oct 01 23:19:16 +0000 2016",36,"Somewhere talkin' sports","212428792","Atlanta native!!! #Falcons #Braves #Dawgs #Hawks.... Follow me ;)",1041,1199,"LUVMESUMFALCONS","Georgia, USA","Georgia",32.6782075,-83.1738665,33.8210001,-84.7250427
"31","RT @: ""We are going to raise taxes on the middle class"" -Hillary Clinton #NeverHillary #Trump20... https://t.co/CpjyWHw8uE","7.82359e+17","en","Sat Oct 01 23:19:16 +0000 2016",4,"Houston","7.78263e+17","#NT Eagles Football. Rockets Basketball. Astros Baseball.",130,201,"_BasedJG","Paradise, NV","Paradise",36.0609645,-115.135165,36.09218067,-115.1369959
"32","Damn and Selena's on at the same time","7.82359e+17","en","Sat Oct 01 23:19:16 +0000 2016",36,"Columbus, OH","60780261","I love travel, photography, learning about the people and places around us, and trying to help a little along the way. And, GO BLUE JACKETS!",980,1946,"rgbtexex","Columbus, OH","Columbus",39.9946835,-82.985772,39.9833,-82.9833
"33","And UNC upset Florida state. It's a good night!","7.82359e+17","en","Sat Oct 01 23:19:18 +0000 2016",6,"Western Mass-Berkshires ","22577970","I'm also on Tumblr. Ask away if interested.",379,1249,"JoeDaltn","Lenox, MA","Lenox",42.347554,-73.272674,42.35913,-73.28388
"34","CD you got to be able to make that play bro. #Crucial","7.82359e+17","en","Sat Oct 01 23:19:18 +0000 2016",14,"North Carolina","467647981","Booking Info: bcamg24@gmail.com
BUY MY MUSIC (CLICK THE LINK BELOW)<ed><U+00A0><U+00BD><ed><U+00B1><U+0087>",928,993,"bcamg23","Greensboro, NC","Greensboro",36.090397,-79.8573635,36.0799,-79.8194
"35","For those who are confused by there being more self-identified D than R in polls (*cough* @ *cough*), th https://t.co/wjp4oCHlbZ","7.82359e+17","en","Sat Oct 01 23:19:18 +0000 2016",47,"ATLANTA, GEORGIA","584131339","BOOKINGSPYDERMANREADY@GMAIL.COM http://hfacebook.com/SPYDERMAN24ht... IG@Spyderman24",79000,3411,"SpydermanReady2","Atlanta, GA","Atlanta",33.7671945,-84.433106,33.78721919,-84.48961589
"36","RT @: Hillary a blood now so she could get more black votes  https://t.co/Ywp06eJyy5","7.82359e+17","en","Sat Oct 01 23:19:18 +0000 2016",17,"West Coast [[cAli GiRl]] ","34153304","BehindThaScenesM.U.S.E. U want it i have it [[Loyal sweet honest and crazy at times]] cant always go on a straight arrow curves are needed need I say more",1481,1561,"bombdiggityy","Bellflower, CA","Bellflower",33.8880815,-118.129042,33.8882,-118.128
"37","They can blow up WTC building &amp; get 3.4 billion after killing 3000 ppl. 

Hillary can break 50 federal laws, lie &amp; run for president! ","7.82359e+17","en","Sat Oct 01 23:19:20 +0000 2016",8,"West Virginia, USA","948130160","Mom,Wife,Daughter,Sister and Friend. When I die I want to be remembered not for red hair or my hot temper but my fierce desire to do right and help those I love",69,144,"chi1976chi","Milton, WV","Milton",38.4359015,-82.1325185,38.435998,-82.133197
"38","As they should....#NeverTrump https://t.co/rjgkwwXRB9","7.82359e+17","en","Sat Oct 01 23:19:20 +0000 2016",2,"Toronto, Ontario","512337775","Senior Customer Representative http://Leodsgn.com Toronto - Canada",126,246,"Johanmns","Toronto, Ontario","Toronto",43.629311,-79.2725695,43.65617513,-79.38046206
"39","RT @: Trump and his media allies are treating Bernie supporters like they're incapable of reasoning for themselves. Truly insultin","7.82359e+17","en","Sat Oct 01 23:19:20 +0000 2016",6,"Atlanta, GA","2458539524","An Atelier For New Choreography, Compositions & Visual Art Led By Alexandre Proia.",101,202,"Proiadance","Atlanta, GA","Atlanta",33.7671945,-84.433106,33.8189515,-84.3512591
"40","Nothing will happen to these punks, they'll get a pass 4 vandalizing &amp; battery against white girl. Racism against w https://t.co/uhSEta0JkD","7.82359e+17","en","Sat Oct 01 23:19:21 +0000 2016",0,"California, USA","7.79082e+17","M4st3r m!nd",5,70,"mountain3ye","Riverside, CA","Riverside",33.935822,-117.397616,33.98557289,-117.3728476
"41","RT @: Clinton camp burns Trump after his Playboy porn past is revealed https://t.co/ncgkP5RdSZ https://t.co/CrPWlLoCbN","7.82359e+17","en","Sat Oct 01 23:19:21 +0000 2016",13,"Bell Gardens","101997403",NA,49,121,"DaveM83","Anaheim, CA","Anaheim",33.842863,-117.851089,33.80696594,-117.9193068
"42","RT @: Do another poll.  AFTER TODAY there will be NO millennial voting for Hillary.  NONE.
#BasementDwellers https://t.co/STAQce44","7.82359e+17","en","Sat Oct 01 23:19:21 +0000 2016",7,"Lodi/Santa Clara CA","393863679","Winegrower of old vine vineyards in the Lodi AVA",221,147,"Zinyard","California, USA","California",37.2691755,-119.3066075,38.19866964,-121.0766662
"43","RT @: I will #UnfollowTrump when Hillary returns money to those hungry, homeless kids in Haiti.. #BasementDwellers https://t.co/XRn0","7.82359e+17","en","Sat Oct 01 23:19:22 +0000 2016",1,"Texas","237086394","Video Games, Music, travel. I love Red Bull and @babydolldarian_ <U+2764><U+FE0F> #UTSA Aspiring DFS Guru",282,139,"ericjames360","San Antonio, TX","San Antonio",29.417501,-98.5406515,29.42642771,-98.48800423
"44","RT @: JUST IN: Eric Trump Busted Funneling Nearly $1 Million In Charity Donations To Dads Golf Courses - https://t.co/U7R5XtIPaF","7.82359e+17","en","Sat Oct 01 23:19:22 +0000 2016",22,"New York","83926356","<U+5F9E><U+5317><U+4EAC><U+5230><U+82F1><U+570B>,<U+5F9E><U+76DB><U+590F><U+5149><U+5E74><U+7684><U+81FA><U+7063><U+5230><U+4E09><U+5E74><U+5F8C><U+7269><U+662F><U+4EBA><U+975E><U+7684><U+9999><U+6E2F>,<U+6211><U+653E><U+68C4><U+4E86><U+91CD><U+56DE><U+8D64><U+9053><U+5F80><U+5317>21<U+5EA6><U+7684><U+65C5><U+884C>,<U+60F3><U+8981><U+5B9A><U+5C45><U+7D10><U+7D04><U+3002>",676,800,"wendymermaid","San Francisco, CA","San Francisco",37.7706565,-122.4359785,37.77948973,-122.4175939
"45","You need to grow up and let things go  people change and that was the past i mean you use to be against gay marria https://t.co/EFQPaBx6vN","7.82359e+17","en","Sat Oct 01 23:19:23 +0000 2016",1,"CharmCity, MD","3185521696",NA,186,275,"embroooks3","Gainesville, VA","Gainesville",38.7922175,-77.6273615,38.78569761,-77.58883782
"46","RT @: Miami Herald deceives its readers by not giving the whole story on Trump's foray into Cuba https://t.co/jHR5YIYrl2 #unfollowt","7.82359e+17","en","Sat Oct 01 23:19:23 +0000 2016",1,"11300 nw 87 ct, suite104 FL","620587630",NA,28,3,"laepocafashion","Hialeah Gardens, FL","Hialeah Gardens",25.8762175,-80.3476035,25.8761,-80.34063
"47","RT @: If you are gay why would you vote for #Hillary who wants to bring in thousands of refugees who believe gays should be exe","7.82359e+17","en","Sat Oct 01 23:19:23 +0000 2016",228,NA,"2688331728",NA,120,6,"BroadSoft_Jobs","Gaithersburg, MD","Gaithersburg",39.136097,-77.2079325,39.1145013,-77.1948084
"48","@  lmao henny&gt; anything else ","7.82359e+17","en","Sat Oct 01 23:19:24 +0000 2016",176,"Medford Oregon","302206097","As a member of the #Lithia #Auto #Stores team, you’ll be part of a company that values you and the work you do. Now #hiring #automotive #professionals!",703,1702,"LithiaJobs","Simi Valley, CA","Simi Valley",34.2673105,-118.731399,34.2694474,-118.781482
"49","RT @: Hillary Clinton got heckled in LA - her campaign rally today lasted less than a minute. 

#Hillary Learning She is ","7.82359e+17","en","Sat Oct 01 23:19:24 +0000 2016",301,"In your area","2535717440","We're looking for people who have a passion for restaurants and a mind for business. If you're looking for a career with us, you’re in the right place!",447,452,"NoodlesCareers","Raleigh, NC","Raleigh",35.8439815,-78.657837,35.7893946,-78.6617019
"50","@ @ That was some sickening sh*t right there!","7.82359e+17","en","Sat Oct 01 23:19:24 +0000 2016",6,"642 miles from Magic Kingdom","22404338","Earth has no sorrow that heaven can't heal.
#TeamScorpio #TeamiPhone",332,1279,"sashay24","Lafayette, LA","Lafayette",30.206079,-92.0611765,30.21568563,-92.02316981
"51","@ HILLARY &amp; OBAMA SENT WEAPONS TO ISIS. WHY? https://t.co/JyLmvTqEiZ","7.82359e+17","en","Sat Oct 01 23:19:25 +0000 2016",4,NA,"342733555","I'm tryna keep my faith",1631,1359,"NicolePedersen1","South Sioux City, NE","South Sioux City",42.459286,-96.4163955,42.4893811,-96.42082521
"52","I can already imagine me being a soccer mom in the future","7.82359e+17","en","Sat Oct 01 23:19:25 +0000 2016",21,"Raleigh, NC","20495698","Do not go where the path may lead, go instead where there is no path and leave a trail. - Ralph Waldo Emerson",160,320,"rttnappl","Raleigh, NC","Raleigh",35.8439815,-78.657837,35.80079945,-78.71910815
"53","@ @ @ That name sounds familiar. Isn't he a anti-video game guy?","7.82359e+17","en","Sat Oct 01 23:19:26 +0000 2016",43,"Las Vegas, NV","3237528804","2016 BBWCON BEST IR SCENE OF THE YEAR winner! @DiamondLou702's Backup Acct. Owner of @D_N_Media 
http://BBWPleasure.com<U+2605>http://MatureOasis.com",11533,857,"DiamondLouX","Paradise, NV","Paradise",36.0609645,-115.135165,36.10431051,-115.1444863
"54","RT @: Guys I'm not even an American and I am terrified at the thought of Trump fuelling his egomania at the worlds expense. Just","7.82359e+17","en","Sat Oct 01 23:19:26 +0000 2016",14,"City of Starlight","1382247194","*:<U+FF65><U+FF9F>to the stars who listen---and the dreams that are answered*:<U+FF65><U+FF9F>",2044,997,"Anna_Lee16","Ann Arbor, MI","Ann Arbor",42.2708395,-83.7299715,42.27676255,-83.73981035
"55","@ this will prove to be the best race of the night I have a feeling.","7.82359e+17","en","Sat Oct 01 23:19:28 +0000 2016",46,"4476 Broadway, NYC 10040","361717258","26 Taps @ 191st and Broadway. Washington Heights/Inwood NYC",1107,1235,"BuddhaBeerBar","Manhattan, NY","Manhattan",40.780709,-73.9685415,40.8573025,-73.9319867
"56","1-0 Caps after 1. #Isles","7.82359e+17","en","Sat Oct 01 23:19:28 +0000 2016",3,"BAY AREA","565152839","finding myself | mchs | sc: mikaylajoyce",482,420,"mikayla_joyce","San Francisco, CA","San Francisco",37.7706565,-122.4359785,37.78202354,-122.4140224
"57","RT @: Congresswoman defends Trumps 5 a.m. sex tweet: Thats the kind of president we need."" https://t.co/kp0pT2FkZZ https://t.co/lQg","7.82359e+17","en","Sat Oct 01 23:19:30 +0000 2016",30,"Raleigh, NC","15001227","husband, dad, writer, minister & prof. director of Campbell U's youth theology institute Fides: Exploring Faith & Vocation. http://brianforemanonline.com",1206,689,"b4man72","Raleigh, NC","Raleigh",35.8439815,-78.657837,35.77686887,-78.639247
"58","Yeah but Alabama is still losing. 

Time to hire Les Miles. He won't be there in  December.","7.82359e+17","en","Sat Oct 01 23:19:30 +0000 2016",75,"San Francisco, CA","96222695","Follow this account for geo-targeted IT-Management (CIO, Director, etc.) job tweets in San Francisco, CA. Need help? Tweet us at @CareerArc!",166,108,"tmj_sfo_itmgmt","San Francisco, CA","San Francisco",37.7706565,-122.4359785,37.7870156,-122.4071835
"59","RT @: Women are opening up a CAN of WhoopA$$ on Trump AKA Mr. UnFIT @ @  @ @ ","7.82359e+17","en","Sat Oct 01 23:19:31 +0000 2016",29,NA,"544608285","Personal IG: @linnperatorfuriosa
Art IG: @senpaitaichou",156,229,"cptnsenpai","Los Angeles, CA","Los Angeles",34.0207895,-118.4119065,34.063157,-118.35791
"60","RT @: 114,000 People Want To Stop Paying Obama While He Stumps For Hillary https://t.co/698LLt0gHn https://t.co/LXL4Yb5gua","7.82359e+17","en","Sat Oct 01 23:19:31 +0000 2016",10,"San Marcos, TX","216912885","Weather updates, forecast, warnings and information for San Marcos, TX. Sources: http://OpenWeatherMap.org, NOAA, USGS.",366,2,"SanMarcosTX","San Marcos, TX","San Marcos",29.8956065,-97.9351915,29.88,-97.94
"61","RT @: Dear Mr. Trump, may I offer you some advice? DON'T TAKE THE BAIT. Let the #Clintons wallow in the mud by themselves. ht","7.82359e+17","en","Sat Oct 01 23:19:31 +0000 2016",71,"Phoenix, AZ","38023469","Follow this account for geo-targeted Other job tweets in Phoenix, AZ. Need help? Tweet us at @CareerArc!",667,540,"tmj_phx_jobs","Phoenix, AZ","Phoenix",33.5528625,-112.1246765,33.4483771,-112.0740373
"62","@ that's on the staff, not the kids. #outcoached #again","7.82359e+17","en","Sat Oct 01 23:19:32 +0000 2016",226,NA,"4715050116","Start something amazing. Now #hiring for #restaurant, #retail, and #theater #jobs throughout the #USA.",118,1,"CareersAMC","Fort Lauderdale, FL","Fort Lauderdale",26.150368,-80.1491725,26.1699903,-80.1150603
"63","The little girl I'm babysitting is staring out the window having a full conversation w someone but there's no one there...  I'm concerned","7.82359e+17","en","Sat Oct 01 23:19:32 +0000 2016",9,"close enough to stl","2486216364",NA,206,208,"jillsiss","Illinois, USA","Illinois",39.7393005,-89.2665075,38.5183347,-90.04111125
"64","Cheers! Every little helps https://t.co/7gU0d4RyfC","7.82359e+17","en","Sat Oct 01 23:19:33 +0000 2016",72,"Durant, OK","328017437","Family practice physician, mother of two, and wife.  Love to travel and experience new things",3595,3978,"MGastorf","Oklahoma, USA","Oklahoma",35.3090465,-98.716992,33.75792117,-97.13169447
"65","RT @: If you #BasementDwellers are voting for Hillary then you're as retarded and dumb as she thinks you are.","7.82359e+17","en","Sat Oct 01 23:19:33 +0000 2016",23,"Philadelphia, PA","395452224","Photographer & Creative | Comics | Penn State Alum | @LadiesShootFilm",727,1472,"LindseyGerstlau","Ambler, PA","Ambler",40.156801,-75.2222375,40.155,-75.22
"66","RT @: Obama tears Donald Trump in 40 seconds. https://t.co/qSwPCvjWGp","7.82359e+17","en","Sat Oct 01 23:19:33 +0000 2016",5,"North Carolina","177728879","The name is Howard, aka Dark_Mousy to the #Beyblade Community. Follow my church @Wsym @BethelChurchNC #TheMove",258,245,"The_Dark_Mousy","Raleigh, NC","Raleigh",35.8439815,-78.657837,35.80518655,-78.56253391
"67","Hillary Clinton trolls Trump with late-night tweets of her own: Hillary Clinton (or her staff... https://t.co/y3EbVwqEtL #politics #news","7.82359e+17","en","Sat Oct 01 23:19:35 +0000 2016",60,"San Francisco, CA","1589692776","This is account is not monitored and is used to post service request update information. To communicate with SF311, please use our main account 'SF311'",133,0,"SF311Reports","San Francisco, CA","San Francisco",37.7706565,-122.4359785,37.749675,-122.404919
"68","Clemson &amp; Louisville about to bit lit ","7.82359e+17","en","Sat Oct 01 23:19:34 +0000 2016",710,"Worldwide","2180751991","Come GROW WITH US! This is our #jobs feed. Follow @KelloggsCareers to connect.",557,1,"KelloggsJobs","Reno, NV","Reno",39.512436,-119.827182,39.5296329,-119.8138027
"69","What Jim said. https://t.co/l39udGzquj","7.82359e+17","en","Sat Oct 01 23:19:36 +0000 2016",6,"texas<U+E308>","184291826","Wife, Mother, Traveler, Life",327,871,"travelermom3","Houston, TX","Houston",29.838495,-95.4464865,29.68472222,-95.41083333
"70","RT @: Donald Trump struggles to deal with debate loss at day-after rally https://t.co/wwdC7x5saD","7.82359e+17","en","Sat Oct 01 23:19:36 +0000 2016",208,"New York State","50706690","Traffic & transit updates for all of New York State provided by New York State 511. Visit the website for more feeds.",1502,205,"511NY","Manhattan, NY","Manhattan",40.780709,-73.9685415,40.7883,-73.9287
"71","RT @:  #WakeUpAmerica 

#Hillary #Clinton doesn't care about #BlackLives She only cares about #BlackVotes ","7.82359e+17","en","Sat Oct 01 23:19:37 +0000 2016",0,"Hollister, CA","4781478312","We offer Dance, Music, & Theater for all ages! Check out our Competition Team & Summer Camps! (831) 635-0553 #ipaacademy618",22,28,"ipaacademy618","California, USA","California",37.2691755,-119.3066075,36.7696144,-121.3041967
"72","RT @: ugh. this is incredibly misleading,
@. she's clearly saying she gets why bernie's supporters are frustrated: https:/","7.82359e+17","en","Sat Oct 01 23:19:37 +0000 2016",194,"Lehigh Valley, Pa","17364883","A satirical blog on current events in the Allentown, Bethlehem and Easton areas. The Lehigh Valley.",6863,2579,"LVwithLove","Bethlehem, PA","Bethlehem",40.6252755,-75.3671965,40.61460128,-75.36939516
"73","Wilson in his pregame interview ruled Feeney out this week and says Camiel had back surgery and will miss a couple weeks #iufb","7.82359e+17","en","Sat Oct 01 23:19:37 +0000 2016",60,"San Francisco, CA","1589692776","This is account is not monitored and is used to post service request update information. To communicate with SF311, please use our main account 'SF311'",133,0,"SF311Reports","San Francisco, CA","San Francisco",37.7706565,-122.4359785,37.750407,-122.406475
"74","@ #Hillary has her problems, but #Trump has a big one: He's a #liar","7.82359e+17","en","Sat Oct 01 23:19:38 +0000 2016",90,"Miami-Usa","88860776","TV Executive, Producer and Creator. Suelta la Sopa, Confesiones d Novela, Chef Carmen, Sabrosa Pasion, Ranking d Estrellas, Misterio's, El Cabaret, Michy.",8175,504,"carlosmesber","Miami, FL","Miami",25.7823535,-80.2333285,25.7877,-80.2241
"75","RT @: Isn't it interesting Hillary called young black males ""super-predators"" when she knowingly married one and became h ","7.82359e+17","en","Sat Oct 01 23:19:38 +0000 2016",0,"San Antonio, TX & Orlando,FL ","52315128","Beauty advisor for Estee lauder and clinique templetx  San AntonioTx AustinTx  orlandoFL",161,846,"jefe254","Corpus Christi, TX","Corpus Christi",27.737151,-97.432425,27.80714624,-97.39328397
